City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mandla,IN,2021-10-12 09:48:22,22.6,80.3833,85.82,53,1,6.22
1,Hasaki,JP,2021-10-12 09:54:08,35.7333,140.8333,68.4,85,100,21.85
2,Punta Arenas,CL,2021-10-12 09:50:08,-53.15,-70.9167,44.71,70,0,10.36
3,Jawhar,SO,2021-10-12 09:54:08,2.7809,45.5005,89.4,45,95,19.39
4,Ushuaia,AR,2021-10-12 09:54:08,-54.8,-68.3,47.86,53,40,16.11
5,Leningradskiy,RU,2021-10-12 09:54:09,69.3833,178.4167,16.45,95,94,6.89
6,Murdochville,CA,2021-10-12 09:54:09,48.9583,-65.5006,45.48,94,47,3.06
7,Beihai,CN,2021-10-12 09:54:09,21.4833,109.1,74.93,71,69,28.99
8,Blagoyevo,RU,2021-10-12 09:54:10,63.3667,47.9167,45.77,73,98,8.97
9,Busselton,AU,2021-10-12 09:54:10,-33.65,115.3333,56.08,61,73,11.32
10,Albany,US,2021-10-12 09:53:55,42.6001,-73.9662,54.54,93,71,1.66
11,Vaini,TO,2021-10-12 09:54:11,-21.2,-175.2,68.16,83,20,6.91
12,Jalu,LY,2021-10-12 09:54:11,29.0331,21.5482,84.88,30,6,9.24
13,Bahar,IR,2021-10-12 09:54:11,34.9072,48.4414,69.96,21,0,0.0
14,Suntar,RU,2021-10-12 09:54:12,62.1444,117.6319,27.66,50,84,13.2
15,Sao Lourenco Do Sul,BR,2021-10-12 09:54:12,-31.3653,-51.9783,58.89,96,96,5.06
16,Santa Maria,BR,2021-10-12 09:54:12,-29.6842,-53.8069,58.3,100,40,0.0
17,Mahebourg,MU,2021-10-12 09:54:13,-20.4081,57.7,81.25,74,20,12.66
18,Bathsheba,BB,2021-10-12 09:54:13,13.2167,-59.5167,81.21,83,40,19.57
19,Fortuna,US,2021-10-12 09:54:13,40.5982,-124.1573,41.36,67,11,3.53
20,Iisalmi,FI,2021-10-12 09:54:14,63.5592,27.1907,44.62,93,100,6.31
21,Valleyview,CA,2021-10-12 09:54:14,55.0667,-117.2859,26.64,86,42,11.5
22,Zevio,IT,2021-10-12 09:54:15,45.3721,11.1293,62.62,71,0,3.44
23,Butaritari,KI,2021-10-12 09:54:15,3.0707,172.7902,81.3,71,73,10.04
24,Puri,IN,2021-10-12 09:54:15,19.8,85.85,93.72,70,76,3.85
25,Angoche,MZ,2021-10-12 09:54:16,-16.2325,39.9086,79.66,57,83,15.86
26,Tiksi,RU,2021-10-12 09:54:16,71.6872,128.8694,23.38,94,100,7.0
27,Caravelas,BR,2021-10-12 09:54:16,-17.7125,-39.2481,71.38,95,100,3.65
28,Kodiak,US,2021-10-12 09:54:17,57.79,-152.4072,42.21,81,69,10.85
29,Tabou,CI,2021-10-12 09:54:17,4.423,-7.3528,79.14,86,100,5.79
30,Bluff,NZ,2021-10-12 09:54:17,-46.6,168.3333,44.74,70,89,25.93
31,Vega De Alatorre,MX,2021-10-12 09:54:18,20.0333,-96.6333,79.61,88,15,6.08
32,Portland,US,2021-10-12 09:49:51,45.5234,-122.6762,43.47,91,1,4.61
33,Cabo San Lucas,MX,2021-10-12 09:50:06,22.8909,-109.9124,79.61,78,96,3.96
34,Rocha,UY,2021-10-12 09:49:26,-34.4833,-54.3333,59.97,98,100,7.05
35,Rikitea,PF,2021-10-12 09:54:18,-23.1203,-134.9692,73.89,76,91,12.82
36,Saint-Joseph,RE,2021-10-12 09:54:19,-21.3667,55.6167,75.58,85,71,2.8
37,Nicoya,CR,2021-10-12 09:54:19,10.1483,-85.452,73.76,94,58,2.15
38,Lebu,CL,2021-10-12 09:54:20,-37.6167,-73.65,49.01,93,12,5.37
39,Ancud,CL,2021-10-12 09:54:20,-41.8697,-73.8203,46.42,93,94,2.01
40,Ilhabela,BR,2021-10-12 09:54:20,-23.7781,-45.3581,68.4,92,99,10.0
41,San Patricio,US,2021-10-12 09:54:21,28.017,-97.5169,82.83,84,70,13.51
42,Victoria,HK,2021-10-12 09:50:26,22.2855,114.1577,80.26,68,100,3.0
43,Yellowknife,CA,2021-10-12 09:53:01,62.456,-114.3525,28.42,95,1,6.91
